phos	tf	splen
P50552	Q9BQA5	5.0
P50552	P35398	3.0
P50552	P11831	3.0
P50552	P18146	4.0
P50552	O14867	inf
P50552	Q92786	inf
P50552	Q9NQB0	3.0
P50552	P84022	3.0
P50552	Q8TAQ2	3.0
P50552	P18848	4.0
P50552	Q14653	3.0
P50552	Q9UIS9	inf
P50552	P37231	3.0
P50552	O00716	4.0
P50552	Q13761	4.0
P50552	Q14469	4.0
P50552	P17861	3.0
P50552	P49116	4.0
P50552	O43524	3.0
P50552	P40763	3.0
P50552	P42224	3.0
P50552	Q96AV8	inf
P50552	P15976	3.0
P50552	P23246	4.0
P50552	Q01094	3.0
P50552	Q06710	4.0
P50552	P01106	3.0
P50552	Q9Y6Q9	3.0
P50552	P17275	3.0
P50552	Q92985	3.0
P50552	P48431	3.0
P50552	Q9UBC3	5.0
P50552	Q04206	3.0
P50552	P14859	3.0
P50552	O60381	4.0
P50552	Q14526	4.0
P50552	P11473	3.0
P50552	P20749	3.0
P50552	Q92922	4.0
P50552	P17947	4.0
P50552	P22415	4.0
P50552	Q13485	2.0
P50552	Q9H3D4	3.0
P50552	Q14209	4.0
P50552	Q99856	4.0
P50552	Q04864	4.0
P50552	Q12772	3.0
P50552	P55347	inf
P50552	P04637	3.0
P50552	Q00978	4.0
P50552	Q13469	4.0
P50552	O43889	inf
P50552	P10827	4.0
P50552	Q9Y5J3	4.0
P50552	P14316	4.0
P50552	P17542	3.0
P50552	Q15306	5.0
P50552	P78545	2.0
P50552	Q9NPC7	5.0
P50552	P10826	4.0
P50552	Q9Y5Q3	4.0
P50552	O95863	2.0
P50552	O95644	3.0
P50552	Q13133	4.0
P50552	Q96RI1	4.0
P50552	Q03181	4.0
P50552	P17544	4.0
P50552	P15408	4.0
P50552	P15884	3.0
P50552	Q16621	4.0
P50552	P14921	3.0
P50552	P08235	4.0
P50552	Q13887	4.0
P50552	P55055	4.0
P50552	P32519	4.0
P50552	P19419	3.0
P50552	P23769	3.0
P50552	P28324	4.0
P50552	Q05215	4.0
P50552	Q92731	3.0
P50552	P17028	4.0
P50552	Q14934	2.0
P50552	P41235	4.0
P50552	P35869	4.0
P50552	P24468	4.0
P50552	P13631	4.0
P50552	P53567	4.0
P50552	P28702	4.0
P50552	Q14186	4.0
P50552	O00482	3.0
P50552	P49716	inf
P50552	Q02080	3.0
P50552	Q03060	3.0
P50552	Q16650	5.0
P50552	Q9ULX9	inf
P50552	Q05066	4.0
P50552	P22670	3.0
P50552	Q92481	inf
P50552	O00470	inf
P50552	Q02446	inf
P50552	Q06413	3.0
P50552	Q01167	4.0
P50552	P50539	5.0
P50552	O60315	3.0
P50552	P17480	3.0
P50552	O75364	inf
P50552	Q99626	3.0
P50552	Q12837	inf
P50552	O15266	4.0
P50552	P10588	4.0
P50552	P50549	3.0
P50552	P50458	inf
P50552	Q9Y261	4.0
P50552	Q01664	inf
P50552	Q01860	3.0
P50552	P48443	4.0
P50552	P10243	4.0
P50552	Q13351	3.0
P50552	P10589	5.0
P50552	P15036	3.0
P50552	Q15562	4.0
P50552	P35680	5.0
P50552	Q9UH73	inf
P50552	P55317	4.0
P50552	P50553	5.0
P50552	Q15561	4.0
P50552	Q92908	3.0
P50552	P40426	inf
P50552	Q9Y2Y9	inf
P50552	P56693	2.0
P50552	P48382	4.0
P50552	Q70SY1	inf
P50552	P56270	4.0
P50552	Q92570	4.0
P50552	P09629	4.0
P50552	P09086	inf
P50552	P28347	4.0
P50552	P08651	6.0
P50552	P58012	2.0
P50552	Q96BA8	inf
P50552	P37275	5.0
P50552	Q13952	5.0
